report_id,site_id,work_date,crew_size,manhours
107,SITE-A,2025-04-17,25.0,218.8
108,SITE-A,2025-04-18,27.0,212.7
109,SITE-A,2025-04-19,21.0,173.6
110,SITE-A,2025-04-20,,
111,SITE-A,2025-04-21,26.0,199.4
112,SITE-A,2025-04-22,22.0,137.9
113,SITE-A,2025-04-23,22.0,179.6
114,SITE-A,2025-04-24,24.0,199.1
115,SITE-A,2025-04-25,27.0,206.8
116,SITE-A,2025-04-26,24.0,182.7
117,SITE-A,2025-04-27,,
118,SITE-A,2025-04-28,23.0,180.0
119,SITE-A,2025-04-29,25.0,205.1
120,SITE-A,2025-04-30,26.0,191.0
121,SITE-A,2025-05-01,,
122,SITE-A,2025-05-02,21.0,184.1
123,SITE-A,2025-05-03,22.0,218.9
124,SITE-A,2025-05-04,,
125,SITE-A,2025-05-05,,
126,SITE-A,2025-05-06,,
127,SITE-A,2025-05-07,27.0,197.8
128,SITE-A,2025-05-08,27.0,222.6
129,SITE-A,2025-05-09,26.0,229.7
130,SITE-A,2025-05-10,24.0,214.5
131,SITE-A,2025-05-11,,
132,SITE-A,2025-05-12,25.0,214.9
133,SITE-A,2025-05-13,25.0,190.8
134,SITE-A,2025-05-14,22.0,176.3
135,SITE-A,2025-05-15,21.0,166.7
136,SITE-A,2025-05-16,26.0,232.2
137,SITE-A,2025-05-17,22.0,180.8
138,SITE-A,2025-05-18,,
139,SITE-A,2025-05-19,26.0,202.2
140,SITE-A,2025-05-20,21.0,201.1
141,SITE-A,2025-05-21,27.0,205.0
142,SITE-A,2025-05-22,23.0,184.7
143,SITE-A,2025-05-23,24.0,180.0
144,SITE-A,2025-05-24,26.0,203.9
145,SITE-A,2025-05-25,,
146,SITE-A,2025-05-26,26.0,211.5
147,SITE-A,2025-05-27,25.0,214.6
148,SITE-A,2025-05-28,26.0,223.5
149,SITE-A,2025-05-29,27.0,224.3
150,SITE-A,2025-05-30,24.0,184.7
151,SITE-A,2025-05-31,26.0,221.9
152,SITE-A,2025-06-01,,
153,SITE-A,2025-06-02,24.0,221.8
154,SITE-A,2025-06-03,19.0,148.8
155,SITE-A,2025-06-04,24.0,177.1
156,SITE-A,2025-06-05,27.0,247.6
157,SITE-A,2025-06-06,,
158,SITE-A,2025-06-07,24.0,182.9
159,SITE-A,2025-06-08,,
160,SITE-A,2025-06-09,20.0,182.9
161,SITE-A,2025-06-10,27.0,206.2
162,SITE-A,2025-06-11,21.0,167.1
163,SITE-A,2025-06-12,27.0,246.9
164,SITE-A,2025-06-13,23.0,204.6
165,SITE-A,2025-06-14,27.0,223.2
166,SITE-A,2025-06-15,,
167,SITE-A,2025-06-16,24.0,178.6
168,SITE-A,2025-06-17,23.0,212.5
169,SITE-A,2025-06-18,19.0,176.2
170,SITE-A,2025-06-19,21.0,148.7
171,SITE-A,2025-06-20,27.0,230.0
172,SITE-A,2025-06-21,24.0,196.8
173,SITE-A,2025-06-22,,
174,SITE-A,2025-06-23,20.0,144.3
175,SITE-A,2025-06-24,25.0,192.0
176,SITE-A,2025-06-25,19.0,170.3
177,SITE-A,2025-06-26,19.0,133.5
178,SITE-A,2025-06-27,22.0,174.9
179,SITE-A,2025-06-28,24.0,189.4
180,SITE-A,2025-06-29,,
181,SITE-A,2025-06-30,24.0,214.9
182,SITE-B,2025-01-01,,
183,SITE-B,2025-01-02,40.0,320.4
184,SITE-B,2025-01-03,,
185,SITE-B,2025-01-04,39.0,406.1
186,SITE-B,2025-01-05,,
187,SITE-B,2025-01-06,37.0,285.8
188,SITE-B,2025-01-07,41.0,285.3
189,SITE-B,2025-01-08,,
190,SITE-B,2025-01-09,40.0,324.3
191,SITE-B,2025-01-10,38.0,344.0
192,SITE-B,2025-01-11,34.0,249.1
193,SITE-B,2025-01-12,,
194,SITE-B,2025-01-13,36.0,345.1
195,SITE-B,2025-01-14,35.0,304.2
196,SITE-B,2025-01-15,35.0,304.9
197,SITE-B,2025-01-16,37.0,312.8
198,SITE-B,2025-01-17,,
199,SITE-B,2025-01-18,36.0,303.8
200,SITE-B,2025-01-19,,
201,SITE-B,2025-01-20,39.0,352.4
202,SITE-B,2025-01-21,36.0,293.6
203,SITE-B,2025-01-22,,
204,SITE-B,2025-01-23,37.0,354.8
205,SITE-B,2025-01-24,41.0,314.3
206,SITE-B,2025-01-25,,
207,SITE-B,2025-01-26,,
208,SITE-B,2025-01-27,35.0,270.4
209,SITE-B,2025-01-28,,
210,SITE-B,2025-01-29,,
211,SITE-B,2025-01-30,,
212,SITE-B,2025-01-31,33.0,281.7
213,SITE-B,2025-02-01,37.0,337.6
214,SITE-B,2025-02-02,,
215,SITE-B,2025-02-03,36.0,263.2
216,SITE-B,2025-02-04,36.0,320.2
217,SITE-B,2025-02-05,41.0,366.5
218,SITE-B,2025-02-06,40.0,386.4
219,SITE-B,2025-02-07,37.0,300.6
220,SITE-B,2025-02-08,41.0,386.9
221,SITE-B,2025-02-09,,
222,SITE-B,2025-02-10,34.0,309.0
223,SITE-B,2025-02-11,35.0,320.5
224,SITE-B,2025-02-12,41.0,370.5
225,SITE-B,2025-02-13,36.0,301.6
226,SITE-B,2025-02-14,33.0,320.6
227,SITE-B,2025-02-15,37.0,245.7
228,SITE-B,2025-02-16,,
229,SITE-B,2025-02-17,39.0,419.6
230,SITE-B,2025-02-18,39.0,322.2
231,SITE-B,2025-02-19,39.0,352.1
232,SITE-B,2025-02-20,37.0,279.7
233,SITE-B,2025-02-21,33.0,285.8
234,SITE-B,2025-02-22,36.0,357.2
235,SITE-B,2025-02-23,,
236,SITE-B,2025-02-24,38.0,335.3
237,SITE-B,2025-02-25,37.0,255.0
238,SITE-B,2025-02-26,36.0,274.9
239,SITE-B,2025-02-27,36.0,299.0
240,SITE-B,2025-02-28,38.0,275.3
241,SITE-B,2025-03-01,,
242,SITE-B,2025-03-02,,
243,SITE-B,2025-03-03,33.0,299.4
244,SITE-B,2025-03-04,39.0,311.3
245,SITE-B,2025-03-05,34.0,331.2
246,SITE-B,2025-03-06,39.0,303.1
247,SITE-B,2025-03-07,39.0,317.5
248,SITE-B,2025-03-08,37.0,257.4
249,SITE-B,2025-03-09,,
250,SITE-B,2025-03-10,40.0,349.8
251,SITE-B,2025-03-11,35.0,327.2
252,SITE-B,2025-03-12,33.0,274.0
253,SITE-B,2025-03-13,35.0,307.4
254,SITE-B,2025-03-14,36.0,246.0
255,SITE-B,2025-03-15,41.0,318.8
256,SITE-B,2025-03-16,,
257,SITE-B,2025-03-17,36.0,276.8
258,SITE-B,2025-03-18,33.0,260.5
259,SITE-B,2025-03-19,35.0,303.5
260,SITE-B,2025-03-20,34.0,275.7
261,SITE-B,2025-03-21,38.0,297.8
262,SITE-B,2025-03-22,35.0,339.1
263,SITE-B,2025-03-23,,
264,SITE-B,2025-03-24,36.0,257.5
265,SITE-B,2025-03-25,34.0,279.1
266,SITE-B,2025-03-26,,
267,SITE-B,2025-03-27,37.0,292.8
268,SITE-B,2025-03-28,41.0,357.8
269,SITE-B,2025-03-29,37.0,354.1
270,SITE-B,2025-03-30,,
271,SITE-B,2025-03-31,38.0,296.6
272,SITE-B,2025-04-01,37.0,292.9
273,SITE-B,2025-04-02,36.0,344.7
274,SITE-B,2025-04-03,39.0,355.3
275,SITE-B,2025-04-04,36.0,263.0
276,SITE-B,2025-04-05,41.0,332.0
277,SITE-B,2025-04-06,,
278,SITE-B,2025-04-07,36.0,308.5
279,SITE-B,2025-04-08,33.0,256.8
280,SITE-B,2025-04-09,38.0,328.8
281,SITE-B,2025-04-10,35.0,236.7
282,SITE-B,2025-04-11,36.0,291.4
283,SITE-B,2025-04-12,40.0,316.6
284,SITE-B,2025-04-13,,
285,SITE-B,2025-04-14,41.0,344.0
286,SITE-B,2025-04-15,36.0,242.8
287,SITE-B,2025-04-16,34.0,309.5
288,SITE-B,2025-04-17,35.0,294.6
289,SITE-B,2025-04-18,35.0,324.0
290,SITE-B,2025-04-19,35.0,274.9
291,SITE-B,2025-04-20,,
292,SITE-B,2025-04-21,37.0,273.6
293,SITE-B,2025-04-22,34.0,314.8
294,SITE-B,2025-04-23,40.0,293.9
295,SITE-B,2025-04-24,38.0,296.8
296,SITE-B,2025-04-25,38.0,276.6
297,SITE-B,2025-04-26,,
298,SITE-B,2025-04-27,,
299,SITE-B,2025-04-28,38.0,304.2
300,SITE-B,2025-04-29,,
301,SITE-B,2025-04-30,37.0,288.0
302,SITE-B,2025-05-01,37.0,285.3
303,SITE-B,2025-05-02,39.0,297.5
304,SITE-B,2025-05-03,33.0,297.1
305,SITE-B,2025-05-04,,
306,SITE-B,2025-05-05,,
307,SITE-B,2025-05-06,,
308,SITE-B,2025-05-07,33.0,316.0
309,SITE-B,2025-05-08,38.0,273.8
310,SITE-B,2025-05-09,36.0,339.9
311,SITE-B,2025-05-10,34.0,253.5
312,SITE-B,2025-05-11,,
313,SITE-B,2025-05-12,40.0,287.3
314,SITE-B,2025-05-13,,
315,SITE-B,2025-05-14,33.0,312.0
316,SITE-B,2025-05-15,37.0,283.4
317,SITE-B,2025-05-16,39.0,359.4
318,SITE-B,2025-05-17,34.0,319.0
319,SITE-B,2025-05-18,,
320,SITE-B,2025-05-19,35.0,291.1
321,SITE-B,2025-05-20,38.0,337.5
322,SITE-B,2025-05-21,36.0,282.5
323,SITE-B,2025-05-22,34.0,240.3
324,SITE-B,2025-05-23,38.0,341.2
325,SITE-B,2025-05-24,38.0,277.1
326,SITE-B,2025-05-25,,
327,SITE-B,2025-05-26,40.0,286.0
328,SITE-B,2025-05-27,38.0,254.1
329,SITE-B,2025-05-28,34.0,346.4
330,SITE-B,2025-05-29,,
331,SITE-B,2025-05-30,38.0,310.8
332,SITE-B,2025-05-31,38.0,316.7
333,SITE-B,2025-06-01,,
334,SITE-B,2025-06-02,37.0,334.7
335,SITE-B,2025-06-03,34.0,307.7
336,SITE-B,2025-06-04,40.0,352.9
337,SITE-B,2025-06-05,41.0,357.6
338,SITE-B,2025-06-06,,
339,SITE-B,2025-06-07,38.0,256.0
340,SITE-B,2025-06-08,,
341,SITE-B,2025-06-09,37.0,310.1
342,SITE-B,2025-06-10,34.0,306.3
343,SITE-B,2025-06-11,35.0,278.7
344,SITE-B,2025-06-12,38.0,313.5
345,SITE-B,2025-06-13,,
346,SITE-B,2025-06-14,37.0,325.4
347,SITE-B,2025-06-15,,
348,SITE-B,2025-06-16,35.0,302.6
349,SITE-B,2025-06-17,38.0,329.3
350,SITE-B,2025-06-18,41.0,297.3
351,SITE-B,2025-06-19,41.0,320.5
352,SITE-B,2025-06-20,37.0,291.3
353,SITE-B,2025-06-21,34.0,295.0
354,SITE-B,2025-06-22,,
355,SITE-B,2025-06-23,38.0,299.4
356,SITE-B,2025-06-24,38.0,288.2
357,SITE-B,2025-06-25,33.0,268.5
358,SITE-B,2025-06-26,,
359,SITE-B,2025-06-27,38.0,355.7
360,SITE-B,2025-06-28,41.0,335.3
361,SITE-B,2025-06-29,,
362,SITE-B,2025-06-30,38.0,342.6
363,SITE-C,2025-01-01,,
364,SITE-C,2025-01-02,24.0,185.8
365,SITE-C,2025-01-03,19.0,159.0
366,SITE-C,2025-01-04,25.0,243.7
367,SITE-C,2025-01-05,,
368,SITE-C,2025-01-06,21.0,161.7
369,SITE-C,2025-01-07,22.0,179.5
370,SITE-C,2025-01-08,22.0,184.9
371,SITE-C,2025-01-09,24.0,225.3
372,SITE-C,2025-01-10,17.0,144.5
373,SITE-C,2025-01-11,18.0,117.9
374,SITE-C,2025-01-12,,
375,SITE-C,2025-01-13,25.0,184.8
376,SITE-C,2025-01-14,24.0,222.3
377,SITE-C,2025-01-15,19.0,148.2
378,SITE-C,2025-01-16,18.0,149.3
379,SITE-C,2025-01-17,18.0,147.8
380,SITE-C,2025-01-18,21.0,186.3
381,SITE-C,2025-01-19,,
382,SITE-C,2025-01-20,17.0,136.5
383,SITE-C,2025-01-21,,
384,SITE-C,2025-01-22,21.0,168.9
385,SITE-C,2025-01-23,22.0,209.7
386,SITE-C,2025-01-24,25.0,222.4
387,SITE-C,2025-01-25,18.0,143.5
388,SITE-C,2025-01-26,,
389,SITE-C,2025-01-27,21.0,177.0
390,SITE-C,2025-01-28,,
391,SITE-C,2025-01-29,,
392,SITE-C,2025-01-30,,
393,SITE-C,2025-01-31,21.0,171.3
394,SITE-C,2025-02-01,20.0,165.9
395,SITE-C,2025-02-02,,
396,SITE-C,2025-02-03,22.0,152.4
397,SITE-C,2025-02-04,23.0,194.0
398,SITE-C,2025-02-05,24.0,225.6
399,SITE-C,2025-02-06,18.0,149.8
400,SITE-C,2025-02-07,18.0,140.4
401,SITE-C,2025-02-08,20.0,159.7
402,SITE-C,2025-02-09,,
403,SITE-C,2025-02-10,20.0,161.8
404,SITE-C,2025-02-11,19.0,118.0
405,SITE-C,2025-02-12,,
406,SITE-C,2025-02-13,19.0,171.7
407,SITE-C,2025-02-14,17.0,125.8
408,SITE-C,2025-02-15,19.0,127.0
409,SITE-C,2025-02-16,,
410,SITE-C,2025-02-17,23.0,183.9
411,SITE-C,2025-02-18,24.0,224.8
412,SITE-C,2025-02-19,20.0,164.5
413,SITE-C,2025-02-20,17.0,121.1
414,SITE-C,2025-02-21,20.0,186.8
415,SITE-C,2025-02-22,19.0,119.2
416,SITE-C,2025-02-23,,
417,SITE-C,2025-02-24,19.0,123.6
418,SITE-C,2025-02-25,19.0,139.8
419,SITE-C,2025-02-26,18.0,138.3
420,SITE-C,2025-02-27,17.0,129.5
421,SITE-C,2025-02-28,19.0,155.1
422,SITE-C,2025-03-01,,
423,SITE-C,2025-03-02,,
424,SITE-C,2025-03-03,19.0,140.5
425,SITE-C,2025-03-04,20.0,178.9
426,SITE-C,2025-03-05,18.0,144.6
427,SITE-C,2025-03-06,22.0,217.1
428,SITE-C,2025-03-07,18.0,151.4
429,SITE-C,2025-03-08,20.0,164.0
430,SITE-C,2025-03-09,,
431,SITE-C,2025-03-10,17.0,142.2
432,SITE-C,2025-03-11,18.0,150.9
433,SITE-C,2025-03-12,22.0,209.0
434,SITE-C,2025-03-13,17.0,138.4
435,SITE-C,2025-03-14,22.0,184.8
436,SITE-C,2025-03-15,25.0,210.7
437,SITE-C,2025-03-16,,
438,SITE-C,2025-03-17,24.0,194.4
439,SITE-C,2025-03-18,25.0,187.3
440,SITE-C,2025-03-19,,
441,SITE-C,2025-03-20,18.0,125.5
442,SITE-C,2025-03-21,19.0,167.4
443,SITE-C,2025-03-22,18.0,160.6
444,SITE-C,2025-03-23,,
445,SITE-C,2025-03-24,23.0,198.6
446,SITE-C,2025-03-25,22.0,178.3
447,SITE-C,2025-03-26,23.0,170.7
448,SITE-C,2025-03-27,21.0,192.7
449,SITE-C,2025-03-28,19.0,142.5
450,SITE-C,2025-03-29,21.0,191.7
451,SITE-C,2025-03-30,,
452,SITE-C,2025-03-31,19.0,137.2
453,SITE-C,2025-04-01,24.0,233.5
454,SITE-C,2025-04-02,,
455,SITE-C,2025-04-03,18.0,139.3
456,SITE-C,2025-04-04,23.0,155.2
457,SITE-C,2025-04-05,20.0,178.0
458,SITE-C,2025-04-06,,
459,SITE-C,2025-04-07,23.0,178.1
460,SITE-C,2025-04-08,23.0,165.6
461,SITE-C,2025-04-09,21.0,154.4
462,SITE-C,2025-04-10,21.0,134.8
463,SITE-C,2025-04-11,22.0,184.6
464,SITE-C,2025-04-12,19.0,186.2
465,SITE-C,2025-04-13,,
466,SITE-C,2025-04-14,21.0,167.1
467,SITE-C,2025-04-15,23.0,223.6
468,SITE-C,2025-04-16,17.0,150.3
469,SITE-C,2025-04-17,18.0,130.9
470,SITE-C,2025-04-18,21.0,143.0
471,SITE-C,2025-04-19,18.0,136.5
472,SITE-C,2025-04-20,,
473,SITE-C,2025-04-21,17.0,111.9
474,SITE-C,2025-04-22,,
475,SITE-C,2025-04-23,18.0,129.9
476,SITE-C,2025-04-24,24.0,186.9
477,SITE-C,2025-04-25,17.0,125.6
478,SITE-C,2025-04-26,24.0,192.9
479,SITE-C,2025-04-27,,
480,SITE-C,2025-04-28,21.0,197.5
481,SITE-C,2025-04-29,21.0,154.3
482,SITE-C,2025-04-30,18.0,142.3
483,SITE-C,2025-05-01,21.0,174.5
484,SITE-C,2025-05-02,25.0,208.0
485,SITE-C,2025-05-03,23.0,179.1
486,SITE-C,2025-05-04,,
487,SITE-C,2025-05-05,,
488,SITE-C,2025-05-06,,
489,SITE-C,2025-05-07,19.0,150.3
490,SITE-C,2025-05-08,23.0,164.1
491,SITE-C,2025-05-09,23.0,236.7
492,SITE-C,2025-05-10,23.0,183.6
493,SITE-C,2025-05-11,,
494,SITE-C,2025-05-12,23.0,184.3
495,SITE-C,2025-05-13,21.0,171.6
496,SITE-C,2025-05-14,24.0,176.5
497,SITE-C,2025-05-15,21.0,153.8
498,SITE-C,2025-05-16,24.0,229.6
499,SITE-C,2025-05-17,17.0,162.1
500,SITE-C,2025-05-18,,
501,SITE-C,2025-05-19,25.0,220.6
502,SITE-C,2025-05-20,18.0,148.9
503,SITE-C,2025-05-21,17.0,119.8
504,SITE-C,2025-05-22,,
505,SITE-C,2025-05-23,24.0,163.0
506,SITE-C,2025-05-24,20.0,130.9
507,SITE-C,2025-05-25,,
508,SITE-C,2025-05-26,25.0,208.6
509,SITE-C,2025-05-27,22.0,168.4
510,SITE-C,2025-05-28,24.0,194.9
511,SITE-C,2025-05-29,,
512,SITE-C,2025-05-30,18.0,148.4
513,SITE-C,2025-05-31,22.0,197.5
514,SITE-C,2025-06-01,,
515,SITE-C,2025-06-02,22.0,167.4
516,SITE-C,2025-06-03,20.0,152.1
517,SITE-C,2025-06-04,19.0,190.0
518,SITE-C,2025-06-05,19.0,157.8
519,SITE-C,2025-06-06,,
520,SITE-C,2025-06-07,25.0,222.0
521,SITE-C,2025-06-08,,
522,SITE-C,2025-06-09,20.0,163.3
523,SITE-C,2025-06-10,24.0,218.1
524,SITE-C,2025-06-11,17.0,123.8
525,SITE-C,2025-06-12,19.0,144.8
526,SITE-C,2025-06-13,23.0,217.2
527,SITE-C,2025-06-14,22.0,171.1
528,SITE-C,2025-06-15,,
529,SITE-C,2025-06-16,20.0,161.0
530,SITE-C,2025-06-17,22.0,201.6
531,SITE-C,2025-06-18,19.0,191.9
532,SITE-C,2025-06-19,18.0,180.6
533,SITE-C,2025-06-20,24.0,181.1
534,SITE-C,2025-06-21,20.0,150.4
535,SITE-C,2025-06-22,,
536,SITE-C,2025-06-23,17.0,116.9
537,SITE-C,2025-06-24,19.0,139.6
538,SITE-C,2025-06-25,,
539,SITE-C,2025-06-26,24.0,171.7
540,SITE-C,2025-06-27,24.0,200.7
541,SITE-C,2025-06-28,17.0,134.6
542,SITE-C,2025-06-29,,
543,SITE-C,2025-06-30,,
