report_id,working_day,crew_size_true,manhours_true
229,True,39,419.6
230,True,39,322.2
231,True,39,352.1
232,True,37,279.7
233,True,33,285.8
234,True,36,357.2
235,False,0,0.0
236,True,38,335.3
237,True,37,255.0
238,True,36,274.9
239,True,36,299.0
240,True,38,275.3
241,False,0,0.0
242,False,0,0.0
243,True,33,299.4
244,True,39,311.3
245,True,34,331.2
246,True,39,303.1
247,True,39,317.5
248,True,37,257.4
249,False,0,0.0
250,True,40,349.8
251,True,35,327.2
252,True,33,274.0
253,True,35,307.4
254,True,36,246.0
255,True,41,318.8
256,False,0,0.0
257,True,36,276.8
258,True,33,260.5
259,True,35,303.5
260,True,34,275.7
261,True,38,297.8
262,True,35,339.1
263,False,0,0.0
264,True,36,257.5
265,True,34,279.1
266,True,39,308.6
267,True,37,292.8
268,True,41,357.8
269,True,37,354.1
270,False,0,0.0
271,True,38,296.6
272,True,37,292.9
273,True,36,344.7
274,True,39,355.3
275,True,36,263.0
276,True,41,332.0
277,False,0,0.0
278,True,36,308.5
279,True,33,256.8
280,True,38,328.8
281,True,35,236.7
282,True,36,291.4
283,True,40,316.6
284,False,0,0.0
285,True,41,344.0
286,True,36,242.8
287,True,34,309.5
288,True,35,294.6
289,True,35,324.0
290,True,35,274.9
291,False,0,0.0
292,True,37,273.6
293,True,34,314.8
294,True,40,293.9
295,True,38,296.8
296,True,38,276.6
297,True,33,288.8
298,False,0,0.0
299,True,38,304.2
300,True,33,238.3
301,True,37,288.0
302,True,37,285.3
303,True,39,297.5
304,True,33,297.1
305,False,0,0.0
306,False,0,0.0
307,False,0,0.0
308,True,33,316.0
309,True,38,273.8
310,True,36,339.9
311,True,34,253.5
312,False,0,0.0
313,True,40,287.3
314,True,40,345.0
315,True,33,312.0
316,True,37,283.4
317,True,39,359.4
318,True,34,319.0
319,False,0,0.0
320,True,35,291.1
321,True,38,337.5
322,True,36,282.5
323,True,34,240.3
324,True,38,341.2
325,True,38,277.1
326,False,0,0.0
327,True,40,286.0
328,True,38,254.1
329,True,34,346.4
330,True,39,284.3
331,True,38,310.8
332,True,38,316.7
333,False,0,0.0
334,True,37,334.7
335,True,34,307.7
336,True,40,352.9
337,True,41,357.6
338,False,0,0.0
339,True,38,256.0
340,False,0,0.0
341,True,37,310.1
342,True,34,306.3
343,True,35,278.7
344,True,38,313.5
345,True,35,250.4
346,True,37,325.4
347,False,0,0.0
348,True,35,302.6
349,True,38,329.3
350,True,41,297.3
351,True,41,320.5
352,True,37,291.3
353,True,34,295.0
354,False,0,0.0
355,True,38,299.4
356,True,38,288.2
357,True,33,268.5
358,True,33,261.5
359,True,38,355.7
360,True,41,335.3
361,False,0,0.0
362,True,38,342.6
363,False,0,0.0
364,True,24,185.8
365,True,19,159.0
366,True,25,243.7
367,False,0,0.0
368,True,21,161.7
369,True,22,179.5
370,True,22,184.9
371,True,24,225.3
372,True,17,144.5
373,True,18,117.9
374,False,0,0.0
375,True,25,184.8
376,True,24,222.3
377,True,19,148.2
378,True,18,149.3
379,True,18,147.8
380,True,21,186.3
381,False,0,0.0
382,True,17,136.5
383,True,17,140.4
384,True,21,168.9
385,True,22,209.7
386,True,25,222.4
387,True,18,143.5
388,False,0,0.0
389,True,21,177.0
390,False,0,0.0
391,False,0,0.0
392,False,0,0.0
393,True,21,171.3
394,True,20,165.9
395,False,0,0.0
396,True,22,152.4
397,True,23,194.0
398,True,24,225.6
399,True,18,149.8
400,True,18,140.4
401,True,20,159.7
402,False,0,0.0
403,True,20,161.8
404,True,19,118.0
405,True,17,145.6
406,True,19,171.7
407,True,17,125.8
408,True,19,127.0
409,False,0,0.0
410,True,23,183.9
411,True,24,224.8
412,True,20,164.5
413,True,17,121.1
414,True,20,186.8
415,True,19,119.2
416,False,0,0.0
417,True,19,123.6
418,True,19,139.8
419,True,18,138.3
420,True,17,129.5
421,True,19,155.1
422,False,0,0.0
423,False,0,0.0
424,True,19,140.5
425,True,20,178.9
426,True,18,144.6
427,True,22,217.1
428,True,18,151.4
429,True,20,164.0
430,False,0,0.0
431,True,17,142.2
432,True,18,150.9
433,True,22,209.0
434,True,17,138.4
435,True,22,184.8
436,True,25,210.7
437,False,0,0.0
438,True,24,194.4
439,True,25,187.3
440,True,22,193.3
441,True,18,125.5
442,True,19,167.4
443,True,18,160.6
444,False,0,0.0
445,True,23,198.6
446,True,22,178.3
447,True,23,170.7
448,True,21,192.7
449,True,19,142.5
450,True,21,191.7
451,False,0,0.0
452,True,19,137.2
453,True,24,233.5
454,True,20,154.8
455,True,18,139.3
456,True,23,155.2
457,True,20,178.0
458,False,0,0.0
459,True,23,178.1
460,True,23,165.6
461,True,21,154.4
462,True,21,134.8
463,True,22,184.6
464,True,19,186.2
465,False,0,0.0
466,True,21,167.1
467,True,23,223.6
468,True,17,150.3
469,True,18,130.9
470,True,21,143.0
471,True,18,136.5
472,False,0,0.0
473,True,17,111.9
474,True,24,184.2
475,True,18,129.9
476,True,24,186.9
477,True,17,125.6
478,True,24,192.9
479,False,0,0.0
480,True,21,197.5
481,True,21,154.3
482,True,18,142.3
483,True,21,174.5
484,True,25,208.0
485,True,23,179.1
486,False,0,0.0
487,False,0,0.0
488,False,0,0.0
489,True,19,150.3
490,True,23,164.1
491,True,23,236.7
492,True,23,183.6
493,False,0,0.0
494,True,23,184.3
495,True,21,171.6
496,True,24,176.5
497,True,21,153.8
498,True,24,229.6
499,True,17,162.1
500,False,0,0.0
501,True,25,220.6
502,True,18,148.9
503,True,17,119.8
504,True,25,251.0
505,True,24,163.0
506,True,20,130.9
507,False,0,0.0
508,True,25,208.6
509,True,22,168.4
510,True,24,194.9
511,True,24,211.9
512,True,18,148.4
513,True,22,197.5
514,False,0,0.0
515,True,22,167.4
516,True,20,152.1
517,True,19,190.0
518,True,19,157.8
519,False,0,0.0
520,True,25,222.0
521,False,0,0.0
522,True,20,163.3
523,True,24,218.1
524,True,17,123.8
525,True,19,144.8
526,True,23,217.2
527,True,22,171.1
528,False,0,0.0
529,True,20,161.0
530,True,22,201.6
531,True,19,191.9
532,True,18,180.6
533,True,24,181.1
534,True,20,150.4
535,False,0,0.0
536,True,17,116.9
537,True,19,139.6
538,True,22,166.6
539,True,24,171.7
540,True,24,200.7
541,True,17,134.6
542,False,0,0.0
543,True,17,133.8
