entry_id,contract_id,qty,unit_price_raw,amount_raw
70142,10008,"47,708",2917.1824,"139,172,938"
70143,10010,"18,566",6684.3708,"124,102,028.00"
70144,10154,"56,820",8239.3609,"468,160,486.00"
70145,10203,"33,285",3451.7070,"114,890,067.00"
70146,10146,"39,816",3176.5531,126477638
70147,10284,"53,067",8720.6125,462776744
70148,10365,"47,494",416.8611,"19,798,401.00"
70149,10256,"53,103",4296.6449,(228164734)
70150,10048,"43,145",1147.2612,"  49,498,584  "
70151,10339,"52,728",7193.0666,379276016
70152,10361,"58,559",7049.7377,"KRW 412,825,590"
70153,10029,"39,019",2463.3192,(96116252)
70154,10358,"50,904",8601.2510,437838081
70155,10142,"15,797",1433.1179,"KRW 22,638,963"
70156,10246,"38,727",8010.5909,"(310,226,154.00)"
70157,10121,941,3887.1417,"KRW 3,657,800"
70158,10026,"35,482",1147.7649,"40,724,994"
70159,10302,"59,380",2625.0291,"  155,874,228  "
70160,10179,"26,648",5107.9937,"KRW 136,117,816"
70161,10128,"34,139",4064.3556,138753036
70162,10135,"34,991",6213.8924,"₩217,430,309"
70163,10330,"10,219",7977.6311,"81,523,412"
70164,10373,"56,993",2955.3409,168433744
70165,10002,"13,813",6696.6660,"  92,501,047  "
70166,10080,"57,453",7565.2037,
70167,10328,"27,422",4396.8826,"  120,571,315  "
70168,10360,"58,408",3911.6397,228471052
70169,10267,"53,379",6175.5826,"  329,646,424  "
70170,10301,"38,269",2583.1505,"  98,854,586  "
70171,10397,"29,594",3938.1721,"KRW 116,546,265"
70172,10317,"5,951",7659.2544,"45,580,223"
70173,10386,"15,398",5005.7759,"₩77,078,937"
70174,10206,"56,379",6673.1307,"376,224,436.00"
70175,10165,"34,603",1252.5122,43340680
70176,10120,"20,693",1803.4943,"  37,319,708  "
70177,10234,"6,707",7218.1917,48412412
70178,10273,"40,821",7674.2285,313269682
70179,10081,"6,473",6391.9337,
70180,10005,"4,304",3304.2534,14221507
70181,10046,"24,500",8406.6862,"  205,963,812  "
70182,10100,"39,360",7118.4194,"₩280,180,988"
70183,10198,"42,447",2452.8566,104116404
70184,10172,"35,614",2384.3238,(84915308)
70185,10201,"15,928",8366.4357,133260588
70186,10028,"51,628",6123.3187,"₩316,134,698"
70187,10025,"12,751",4522.8559,"57,670,936.00"
70188,10346,"42,730",3057.0636,N/A
70189,10234,"5,145",6456.8975,"KRW 33,220,738"
70190,10045,"30,231",3027.3984,"91,521,281.00"
70191,10340,"59,805",662.0913,"₩39,596,370"
70192,10285,"9,284",2442.3623,(22674892)
70193,10390,"49,742",2991.7923,"148,817,733.00"
70194,10269,"39,264",1907.2211,"₩74,885,129"
70195,10360,"12,238",3107.8350,"  38,033,685  "
70196,10275,"29,857",8505.5319,"(253,949,666)"
70197,10090,"24,776",5650.7174,"(₩140,002,174)"
70198,10073,"13,586",8069.2045,"109,628,212"
70199,10281,"17,170",1080.0283,"18,544,086.00"
70200,10105,"31,938",6498.0701,"KRW 207,535,363"
70201,10261,"28,232",1030.5381,29094152
70202,10360,"20,338",5423.9005,"110,311,288"
70203,10193,"4,202",5727.7762,"KRW 24,068,116"
70204,10339,"42,094",824.6718,"(34,713,735)"
70205,10281,"21,024",8425.3218,"177,133,966"
70206,10033,"15,965",3789.8549,"60,505,033.00"
70207,10145,"27,578",7876.8885,"(KRW 217,228,831)"
70208,10306,"53,468",6233.6551,TBD
70209,10022,"51,338",8524.9947,"437,656,178"
70210,10396,"4,030",7580.1973,"₩30,548,195"
70211,10020,"16,649",5589.3292,"₩93,056,742"
70212,10150,"7,616",6882.4408,"52,416,669.00"
70213,10345,"43,014",2996.9654,128911470
70214,10016,"27,856",8725.3061,"243,052,127"
70215,10091,"2,091",4568.3633,"₩9,552,448"
70216,10364,"31,525",7199.3829,226960546
70217,10034,"23,019",6955.0497,"₩160,098,289"
70218,10384,"22,215",3242.8797,72040573
70219,10121,"20,602",304.6780,"KRW 6,276,976"
70220,10160,"57,165",1301.0173,"74,372,654.00"
70221,10048,"51,793",3268.0033,"169,259,695"
70222,10267,"29,299",2695.5864,78977986
70223,10306,"57,827",5929.0939,"  342,861,713  "
70224,10293,"55,452",7364.0494,"408,351,267"
70225,10347,"7,431",6879.9215,"KRW 51,124,697"
70226,10166,"13,686",7402.4125,(101309417)
70227,10077,"54,847",5170.5012,283586479
70228,10361,"21,916",481.2246,  
70229,10231,"1,096",5889.3298,"6,454,705"
70230,10206,"26,849",1075.1586,28866933
70231,10162,"44,782",7591.0131,"339,940,749.00"
70232,10309,"40,090",3668.6290,"  147,075,337  "
70233,10300,"43,944",4958.1084,"217,879,116.00"
70234,10012,"40,944",2726.7458,"₩111,643,880"
70235,10080,"27,601",2285.6966,(63087512)
70236,10347,"4,627",207.5286,960235
70237,10025,"21,449",5223.6720,"112,042,541.00"
70238,10331,"14,990",4608.7724,69085498
70239,10249,"33,678",6069.6343,"(204,413,144.00)"
70240,10259,"27,197",1431.1749,"38,923,664.00"
70241,10296,"20,206",1663.8748,"33,620,254"
70242,10037,"25,371",3882.5397,"98,503,915.00"
70243,10393,"34,401",6306.5032,"216,950,017.00"
70244,10348,"28,490",4572.7726,"130,278,291"
70245,10099,"23,538",8262.1238,"(194,473,870)"
70246,10234,"1,158",1224.2127,"1,417,638.00"
70247,10360,"44,826",5122.4341,"229,618,231.00"
70248,10346,"11,132",8122.5850,"90,420,616.00"
70249,10125,"44,745",5071.2072,226911166
70250,10259,"43,619",3216.8549,"140,315,994.00"
70251,10258,"29,019",7302.4828,"KRW 211,910,748"
70252,10340,"58,056",4633.9964,"269,031,295.00"
70253,10296,"47,917",6172.5402,"295,769,609"
70254,10384,"15,266",825.4301,"₩12,601,016"
70255,10134,"4,040",8269.0899,
70256,10397,"13,451",4894.7118,65838768
70257,10075,"24,225",8813.9482,"213,517,895"
70258,10079,"54,576",193.7904,"₩10,576,305"
70259,10105,"3,945",4844.8925,"19,113,101"
70260,10201,"24,729",3677.5321,"  90,941,691  "
70261,10344,"5,672",7061.5318,"40,053,008.00"
70262,10257,"18,426",5142.3570,"KRW 94,753,070"
70263,10241,"12,681",6392.4130,"81,062,189.00"
70264,10278,"33,435",4752.3900,"  158,896,160  "
70265,10109,"18,369",5245.1524,"  96,348,204  "
70266,10229,"59,097",5896.3446,"348,456,277.00"
70267,10012,"21,236",142.8621,"₩3,033,820"
70268,10392,"8,602",8544.7556,"  73,501,988  "
70269,10278,"45,935",2271.2325,"KRW 104,329,065"
70270,10158,"33,184",7359.9967,244234130
70271,10024,"57,314",1579.2640,"90,513,937.00"
70272,10139,"26,985",7876.6068,"(212,550,234)"
70273,10036,"7,947",3907.1145,"KRW 31,049,839"
70274,10043,"39,463",4760.9670,"KRW 187,882,041"
70275,10327,"31,435",223.7371,(7033176)
70276,10341,"23,092",2018.6866,"₩46,615,511"
70277,10144,"44,485",7359.9991,"KRW 327,409,560"
70278,10140,"26,611",8274.4184,"220,190,548"
70279,10285,"58,095",6272.4905,"364,400,336"
70280,10247,"48,633",4298.7321,"KRW 209,060,238"
70281,10253,"26,128",6421.8806,"  167,790,896  "
70282,10241,"4,913",7805.1127,"(38,346,519.00)"
70283,10162,"35,123",7497.8674,263347597
70284,10181,"15,040",4130.5832,"  62,123,971  "
70285,10091,"22,633",4045.1353,"₩91,553,547"
70286,10095,"47,398",4488.9204,"KRW 212,765,849"
70287,10238,"7,254",3271.4747,"23,731,277.00"
70288,10283,"56,553",7926.4056,"448,262,016"
70289,10124,"20,747",3922.8295,"₩81,386,944"
70290,10023,"9,575",2792.8457,"₩26,741,498"
70291,10104,"13,728",5401.5934,"  74,153,074  "
70292,10361,"19,736",7241.0639,"  142,909,637  "
70293,10133,"15,431",6310.6452,"₩97,379,566"
70294,10178,"25,936",1868.7743,48468530
70295,10058,"27,202",6884.9848,"KRW 187,285,357"
70296,10327,"8,474",3592.6568,"30,444,174.00"
70297,10180,"51,200",3905.6841,TBD
70298,10337,"37,964",1408.1283,"KRW 53,458,183"
70299,10026,"34,517",4517.3182,"  155,924,272  "
70300,10036,"4,433",4465.7325,"19,796,592.00"
70301,10184,"18,386",724.8002,13326176
70302,10048,"39,922",4584.7080,"KRW 183,030,713"
70303,10114,"2,226",3840.2682,"₩8,548,437"
70304,10352,"28,802",945.3786,27228794
70305,10246,"32,719",2098.8418,"(68,672,005.00)"
70306,10346,"42,452",1870.5804,"79,409,879.00"
70307,10072,"3,435",8014.4906,"KRW 27,529,775"
70308,10072,"2,785",2835.9322,7898071
70309,10266,"58,672",3567.6594,"  209,321,712  "
70310,10315,"58,012",1775.6931,"KRW 103,011,508"
70311,10054,717,8373.4557,"₩6,003,768"
70312,10134,"34,070",2957.8157,"  100,772,781  "
70313,10338,"24,090",8821.0269,"212,498,538.00"
70314,10357,"11,102",5075.0158,"₩56,342,825"
70315,10391,"24,087",3759.9296,"90,565,424.00"
70316,10371,"51,304",7707.9089,"KRW 395,446,558"
70317,10157,"50,193",2864.6561,"143,785,684.00"
70318,10120,"2,039",4722.5066,"9,629,191.00"
70319,10250,"29,099",957.9904,"27,876,563.00"
70320,10070,"44,222",4795.6632,"KRW 212,073,818"
70321,10136,"7,363",2456.3584,"KRW 18,086,167"
70322,10009,"37,379",7776.0381,"(KRW 290,660,528)"
70323,10273,"15,460",6149.4702,"95,070,809"
70324,10252,"37,396",7662.5982,286550522
70325,10260,"23,200",7084.7232,"164,365,578"
70326,10066,"7,180",6169.6538,"44,298,114"
70327,10179,"37,424",4420.7319,"165,441,471"
70328,10233,"39,239",8114.1877,318392611
70329,10015,"59,606",7187.3493,"428,409,142.00"
70330,10233,"52,356",1735.1882,90847513
70331,10135,"33,828",5264.9773,  
70332,10008,"7,463",7024.1247,"KRW 52,421,043"
70333,10324,"40,647",8872.1707,"360,627,122"
70334,10019,"36,062",8053.3329,-
70335,10246,"39,369",1415.3458,"55,720,749.00"
70336,10094,"30,473",3026.5268,  
70337,10118,"27,415",3466.2647,"95,027,647.00"
70338,10075,"9,330",2965.8845,"27,671,702.00"
70339,10201,"49,983",4078.0421,"203,832,778"
70340,10138,"59,351",5676.9992,336935580
70341,10207,"47,263",8443.1894,"  399,050,461  "
70342,10110,"34,151",7968.5730,(272134737)
70343,10276,"28,380",4340.8827,"  123,194,251  "
70344,10167,"32,921",7888.9983,259713713
70345,10101,"13,125",6775.8495,88933025
70346,10283,"18,689",5256.7843,"KRW 98,244,042"
70347,10212,"36,755",1629.8179,"59,903,957"
70348,10310,"16,970",153.5887,"2,606,400.00"
70349,10184,"28,361",4880.8272,"138,425,140.00"
70350,10378,"51,836",8993.6660,"466,195,671.00"
70351,10112,"14,432",8298.4295,"119,762,935"
70352,10086,"37,312",7537.9102,"₩281,254,505"
70353,10209,"54,287",5880.4919,"319,234,264"
70354,10147,"59,199",740.9677,"43,864,547.00"
70355,10270,"28,107",4261.5122,"119,778,323"
70356,10350,"11,788",531.8783,"6,269,781"
70357,10176,"15,919",5814.3918,"₩92,559,303"
70358,10104,"38,357",7896.6015,302889944
70359,10159,"36,224",2774.9105,"KRW 100,518,358"
70360,10037,"5,122",1683.6553,"8,623,682"
70361,10174,"3,924",3937.9167,"15,452,385.00"
70362,10170,"38,008",5770.3564,"  219,319,706  "
70363,10025,"57,774",3512.0259,"  202,903,784  "
70364,10362,"3,381",7627.8048,25789608
70365,10047,"33,514",8746.5745,"(293,132,698)"
70366,10258,"45,141",2766.5168,"₩124,883,335"
70367,10211,"50,226",8942.1335,"449,127,597"
70368,10070,"17,632",8176.6526,"  144,170,739  "
70369,10057,"53,387",6618.4390,"353,338,603"
70370,10099,"14,733",8010.5043,"118,018,760"
70371,10331,"28,377",4924.4354,"KRW 139,740,703"
70372,10396,"36,447",1418.7274,"  51,708,358  "
70373,10009,"39,258",5797.3333,"  227,591,711  "
70374,10270,"52,099",2032.5220,"  105,892,364  "
70375,10247,"4,972",6537.5724,"(KRW 32,504,810)"
70376,10143,"10,937",5847.9606,"63,959,145"
70377,10091,"52,192",796.7275,"41,582,802.00"
70378,10091,"59,817",1476.4627,"₩88,317,569"
70379,10003,"50,037",5985.3565,"299,489,283"
70380,10126,"17,542",365.2701,"(6,407,568)"
70381,10110,"11,467",1863.2948,"KRW 21,366,401"
70382,10179,"10,128",5758.4190,"KRW 58,321,268"
70383,10126,"30,721",7834.9621,"  240,697,871  "
70384,10179,"47,721",2540.9347,"121,255,945"
70385,10079,"4,993",866.7329,"KRW 4,327,597"
70386,10163,"5,041",6406.4309,"₩32,294,818"
70387,10386,"27,036",2042.8471,"55,230,414"
70388,10152,"37,139",1860.9999,"  69,115,675  "
70389,10363,"59,440",8215.4338,"₩488,325,385"
70390,10298,"12,873",5343.5875,"68,788,002.00"
70391,10181,"31,225",5706.4028,TBD
70392,10142,"28,722",6428.5532,184640905
70393,10040,"47,287",749.1543,"(35,425,259)"
70394,10223,509,8660.1788,"₩4,408,031"
70395,10239,"27,011",2437.3112,65834213
70396,10055,"31,275",1074.2144,"33,596,055"
70397,10052,"23,620",5605.4674,132401140
70398,10218,"31,021",6369.8527,"  197,599,201  "
70399,10334,"37,828",2797.1533,"KRW 105,810,715"
70400,10153,"46,198",4616.4960,"213,272,882.00"
70401,10226,"50,400",4037.0497,"₩203,467,305"
70402,10228,"10,121",7492.4544,75831131
70403,10203,"12,971",924.7713,"11,995,209"
70404,10004,"20,029",2306.3194,"  46,193,271  "
70405,10102,"41,864",7203.2934,"301,558,675"
70406,10357,"26,597",3402.1106,"₩90,485,936"
70407,10122,"14,004",7033.7642,"98,500,834"
70408,10082,"6,516",1233.8189,8039564
70409,10172,"16,070",887.1633,"14,256,714"
70410,10353,632,6858.5086,"₩4,334,577"
70411,10375,"18,330",4693.4012,"86,030,044.00"
70412,10025,"20,367",7662.0971,"156,053,932.00"
70413,10145,"44,408",5713.2714,"  253,714,956  "
70414,10357,"52,550",8221.4816,"  432,038,858  "
70415,10031,"23,619",1505.5878,"35,560,478"
70416,10359,"2,848",6108.6650,"₩17,397,478"
70417,10332,"20,917",4652.3011,"KRW 97,312,182"
70418,10023,"14,354",8769.2312,"125,873,545.00"
70419,10184,"6,015",2765.6691,"KRW 16,635,500"
70420,10138,"18,254",1006.3464,"18,369,847"
70421,10256,"19,690",7140.6178,"140,598,764.00"
70422,10182,"10,466",892.2411,"9,338,195.00"
70423,10160,"3,853",1593.1671,"₩6,138,473"
70424,10331,"14,743",4391.2849,"KRW 64,740,713"
70425,10135,"34,068",6885.1256,"  234,562,459  "
70426,10198,"23,878",7174.6590,"171,316,508"
70427,10226,"17,232",7528.6823,(129734253)
70428,10084,"26,370",8502.5949,"224,213,428.00"
70429,10041,"8,684",8584.3325,"₩74,546,343"
70430,10396,"37,420",7012.5503,"KRW 262,409,632"
70431,10338,"10,334",7396.7595,"₩76,438,113"
70432,10161,"24,891",3279.7303,"₩81,635,767"
70433,10357,"32,906",2633.5033,(86658060)
70434,10080,"6,204",5625.1784,"  34,898,607  "
70435,10089,"11,680",3932.9231,"45,936,542"
70436,10074,"34,337",7134.6766,"  244,983,390  "
70437,10216,"4,287",7881.7809,"33,789,195"
70438,10030,"33,859",5050.4281,"171,002,445"
70439,10400,"53,411",7639.2791,"KRW 408,021,536"
70440,10305,"48,410",4808.6988,"232,789,109.00"
70441,10138,"51,623",3228.2462,166651754
70442,10064,"56,249",2946.2907,"165,725,906.00"
70443,10063,"34,296",7823.0574,268299577
70444,10136,"12,875",4687.1963,60347652
70445,10250,"14,535",5410.2119,
70446,10077,"7,240",7334.6786,"(KRW 53,103,073)"
70447,10163,"25,395",3976.0763,"KRW 100,972,458"
70448,10195,"45,681",4410.7660,"  201,488,202  "
70449,10043,"37,164",4343.8575,161435120
70450,10247,"40,203",7840.4477,
70451,10016,"32,002",1891.5017,"  60,531,837  "
70452,10033,"19,808",2675.5129,"₩52,996,560"
70453,10242,"32,665",6839.6129,223415955
70454,10207,"48,028",7290.0244,"KRW 350,125,292"
70455,10318,"16,749",781.4863,"13,089,114.00"
70456,10244,"46,679",5538.8062,"  258,545,935  "
70457,10218,"22,167",387.6084,"  8,592,115  "
70458,10207,"8,554",7512.7468,"64,264,036.00"
70459,10010,"40,732",8074.3838,"328,885,801.00"
70460,10243,"23,210",4545.9800,105512196
70461,10351,"20,552",2145.1787,"(44,087,713)"
70462,10223,"46,341",5127.1850,"₩237,598,880"
70463,10029,"46,119",5895.3436,"271,887,351.00"
70464,10304,"28,383",4641.6237,131743205
70465,10162,"30,132",232.8298,"₩7,015,628"
70466,10072,"38,871",2825.9752,109848482
70467,10150,"18,972",4943.8556,"93,794,828"
70468,10129,"17,292",8580.2356,"KRW 148,369,434"
70469,10081,"30,211",6778.2606,"₩204,778,031"
70470,10053,"44,555",346.2632,"KRW 15,427,757"
70471,10210,"4,884",5908.3218,28856244
70472,10212,"11,999",8714.9100,"104,570,205"
70473,10260,"32,797",2154.4065,TBD
70474,10210,"10,164",6090.5879,"₩61,904,735"
70475,10220,"5,946",903.6614,"KRW 5,373,171"
70476,10248,"2,880",2467.2358,"7,105,639.00"
70477,10386,"49,550",3475.6100,"₩172,216,476"
70478,10356,"8,782",3997.2705,"KRW 35,104,030"
70479,10014,"50,529",8689.1165,439052368
70480,10133,"3,038",3264.8452,"  9,918,600  "
70481,10046,"46,788",6358.0163,"KRW 297,478,867"
70482,10284,"12,880",5397.4496,"69,519,151.00"
70483,10398,"31,501",351.5023,"KRW 11,072,674"
70484,10113,"31,311",3503.6469,"109,702,688.00"
70485,10111,"11,517",7676.3104,88408067
70486,10126,"28,197",7847.9764,"KRW 221,289,391"
70487,10146,"59,709",6253.3984,373384165
70488,10238,"45,655",4302.4414,"  196,427,962  "
70489,10006,"4,294",1433.6231,6155978
70490,10304,"49,458",284.7731,14084308
70491,10094,"43,681",3934.2760,171853110
70492,10230,"15,657",2441.1942,38221778
70493,10008,"40,304",7191.8029,"289,858,424.00"
70494,10339,"41,049",1285.9992,"₩52,788,981"
70495,10228,"41,786",8352.0050,"₩348,996,881"
70496,10372,"2,398",6139.6104,"KRW 14,722,786"
70497,10347,"46,120",3944.5359,"  181,921,996  "
70498,10227,"32,333",711.4979,23004862
70499,10284,"51,991",7854.8329,"KRW 408,380,617"
70500,10280,"28,261",2571.4382,"72,671,415"
70501,10340,"47,099",7854.7262,"(₩369,949,749)"
70502,10239,"3,703",3006.2814,11132260
70503,10261,"46,298",8798.0210,407330776
70504,10226,"59,267",1297.1480,"(76,878,071)"
70505,10138,"11,854",6428.1789,"76,199,633.00"
70506,10109,"4,209",4327.5710,"(18,214,746.00)"
70507,10214,"56,942",7165.9172,"408,041,657.00"
70508,10311,"53,012",3098.2506,"(164,244,461.00)"
70509,10319,"24,254",477.8754,"11,590,390.00"
70510,10129,"7,609",7000.9726,"53,270,401"
70511,10028,"59,537",5885.0119,"350,375,953"
70512,10370,"39,406",2134.2513,"  84,102,307  "
70513,10189,"53,059",7627.9161,-
70514,10293,"48,164",8733.7707,N/A
70515,10088,"11,682",1062.6944,"  12,414,396  "
70516,10181,"38,239",765.7594,29281874
70517,10185,"28,615",7822.1838,"₩223,831,789"
70518,10161,"37,456",960.0471,"  35,959,524  "
70519,10045,"24,418",1643.5270,"₩40,131,642"
70520,10271,"18,576",7098.2306,"(131,856,732)"
70521,10292,"19,884",2899.1578,"₩57,646,854"
70522,10275,"49,628",1399.3435,"  69,446,619  "
70523,10356,"59,263",4886.6857,"  289,599,655  "
70524,10236,129,3002.4192,387312
70525,10239,"22,194",8997.4652,"199,689,743.00"
70526,10280,"49,413",4465.3158,"220,644,650.00"
70527,10022,"6,062",5812.2371,"35,233,781"
70528,10384,"15,997",6726.2603,"₩107,599,986"
70529,10065,"40,379",8894.6545,"  359,157,254  "
70530,10041,"34,918",1754.7618,"61,272,773.00"
70531,10384,"43,012",7829.7008,"336,771,091"
70532,10039,"21,648",7556.3379,"163,579,603"
70533,10368,"38,159",6171.1971,"KRW 235,486,710"
70534,10225,"16,630",5914.2853,"KRW 98,354,565"
70535,10237,"6,891",1237.4084,"8,526,981"
70536,10249,"50,254",2142.9452,"₩107,691,568"
70537,10050,"24,355",3151.4296,"KRW 76,753,068"
70538,10011,"25,898",8424.1690,"  218,169,129  "
70539,10034,"5,011",4455.2116,"  22,325,065  "
70540,10193,"19,016",4992.5872,"₩94,939,038"
70541,10135,"33,753",6191.7174,"  208,989,037  "
70542,10239,"51,659",5278.4486,272679376
70543,10222,"52,593",3308.8215,"174,020,849.00"
70544,10281,"4,766",198.5735,"(946,401)"
70545,10144,"56,252",762.1961,"42,875,055"
70546,10103,"5,285",1981.3427,"(10,471,396.00)"
