entry_id,amount_true,unit_price_true,qty_true,recoverable
70102,199263304,8254.4865,24140,True
70103,2316388,484.4987,4781,True
70104,372161471,7226.0154,51503,True
70105,11866605,338.6105,35045,True
70106,140283655,3847.2878,36463,True
70107,264653481,4741.4494,55817,True
70108,11703170,2952.3639,3964,True
70109,336979404,6525.6764,51639,True
70110,193494007,4578.8728,42258,True
70111,265552356,4754.0613,55858,True
70112,82725137,5037.7649,16421,True
70113,165517816,8844.1259,18715,True
70114,-98395121,1966.9976,50023,True
70115,68473903,2667.0524,25674,True
70116,173840235,6560.7516,26497,True
70117,210632042,5292.6613,39797,True
70118,250152787,4352.0727,57479,True
70119,191028452,5710.6948,33451,True
70120,13040764,357.0562,36523,True
70121,63086319,2025.6982,31143,True
70122,8210827,180.9429,45378,True
70123,190233275,3761.7068,50571,True
70124,14381398,512.1398,28081,True
70125,144159987,8774.7268,16429,True
70126,105373009,4150.668,25387,True
70127,81884074,6149.7615,13315,True
70128,387325919,8400.2238,46109,True
70129,74045415,1911.9349,38728,False
70130,29888223,509.1864,58698,True
70131,486959075,8328.9275,58466,True
70132,246115993,4956.0208,49660,True
70133,201528869,5391.3555,37380,True
70134,169307421,6398.8594,26459,True
70135,58041786,1439.8141,40312,True
70136,-278730562,6210.9892,44877,True
70137,19646506,880.4565,22314,True
70138,114258776,6837.7484,16710,True
70139,417205474,8716.6595,47863,True
70140,156431405,6326.5957,24726,True
70141,146552415,7450.5549,19670,True
70142,139172938,2917.1824,47708,True
70143,124102028,6684.3708,18566,True
70144,468160486,8239.3609,56820,True
70145,114890067,3451.707,33285,True
70146,126477638,3176.5531,39816,True
70147,462776744,8720.6125,53067,True
70148,19798401,416.8611,47494,True
70149,-228164734,4296.6449,53103,True
70150,49498584,1147.2612,43145,True
70151,379276016,7193.0666,52728,True
70152,412825590,7049.7377,58559,True
70153,-96116252,2463.3192,39019,True
70154,437838081,8601.251,50904,True
70155,22638963,1433.1179,15797,True
70156,-310226154,8010.5909,38727,True
70157,3657800,3887.1417,941,True
70158,40724994,1147.7649,35482,True
70159,155874228,2625.0291,59380,True
70160,136117816,5107.9937,26648,True
70161,138753036,4064.3556,34139,True
70162,217430309,6213.8924,34991,True
70163,81523412,7977.6311,10219,True
70164,168433744,2955.3409,56993,True
70165,92501047,6696.666,13813,True
70166,434643648,7565.2037,57453,False
70167,120571315,4396.8826,27422,True
70168,228471052,3911.6397,58408,True
70169,329646424,6175.5826,53379,True
70170,98854586,2583.1505,38269,True
70171,116546265,3938.1721,29594,True
70172,45580223,7659.2544,5951,True
70173,77078937,5005.7759,15398,True
70174,376224436,6673.1307,56379,True
70175,43340680,1252.5122,34603,True
70176,37319708,1803.4943,20693,True
70177,48412412,7218.1917,6707,True
70178,313269682,7674.2285,40821,True
70179,41374987,6391.9337,6473,False
70180,14221507,3304.2534,4304,True
70181,205963812,8406.6862,24500,True
70182,280180988,7118.4194,39360,True
70183,104116404,2452.8566,42447,True
70184,-84915308,2384.3238,35614,True
70185,133260588,8366.4357,15928,True
70186,316134698,6123.3187,51628,True
70187,57670936,4522.8559,12751,True
70188,130628328,3057.0636,42730,False
70189,33220738,6456.8975,5145,True
70190,91521281,3027.3984,30231,True
70191,39596370,662.0913,59805,True
70192,-22674892,2442.3623,9284,True
70193,148817733,2991.7923,49742,True
70194,74885129,1907.2211,39264,True
70195,38033685,3107.835,12238,True
70196,-253949666,8505.5319,29857,True
70197,-140002174,5650.7174,24776,True
70198,109628212,8069.2045,13586,True
70199,18544086,1080.0283,17170,True
70200,207535363,6498.0701,31938,True
70201,29094152,1030.5381,28232,True
70202,110311288,5423.9005,20338,True
70203,24068116,5727.7762,4202,True
70204,-34713735,824.6718,42094,True
70205,177133966,8425.3218,21024,True
70206,60505033,3789.8549,15965,True
70207,-217228831,7876.8885,27578,True
70208,333301071,6233.6551,53468,False
70209,437656178,8524.9947,51338,True
70210,30548195,7580.1973,4030,True
70211,93056742,5589.3292,16649,True
70212,52416669,6882.4408,7616,True
70213,128911470,2996.9654,43014,True
70214,243052127,8725.3061,27856,True
70215,9552448,4568.3633,2091,True
70216,226960546,7199.3829,31525,True
70217,160098289,6955.0497,23019,True
70218,72040573,3242.8797,22215,True
70219,6276976,304.678,20602,True
70220,74372654,1301.0173,57165,True
70221,169259695,3268.0033,51793,True
70222,78977986,2695.5864,29299,True
70223,342861713,5929.0939,57827,True
70224,408351267,7364.0494,55452,True
70225,51124697,6879.9215,7431,True
70226,-101309417,7402.4125,13686,True
70227,283586479,5170.5012,54847,True
70228,10546518,481.2246,21916,False
70229,6454705,5889.3298,1096,True
70230,28866933,1075.1586,26849,True
70231,339940749,7591.0131,44782,True
70232,147075337,3668.629,40090,True
70233,217879116,4958.1084,43944,True
70234,111643880,2726.7458,40944,True
70235,-63087512,2285.6966,27601,True
70236,960235,207.5286,4627,True
70237,112042541,5223.672,21449,True
70238,69085498,4608.7724,14990,True
70239,-204413144,6069.6343,33678,True
70240,38923664,1431.1749,27197,True
70241,33620254,1663.8748,20206,True
70242,98503915,3882.5397,25371,True
70243,216950017,6306.5032,34401,True
70244,130278291,4572.7726,28490,True
70245,-194473870,8262.1238,23538,True
70246,1417638,1224.2127,1158,True
70247,229618231,5122.4341,44826,True
70248,90420616,8122.585,11132,True
70249,226911166,5071.2072,44745,True
70250,140315994,3216.8549,43619,True
70251,211910748,7302.4828,29019,True
70252,269031295,4633.9964,58056,True
70253,295769609,6172.5402,47917,True
70254,12601016,825.4301,15266,True
70255,33407123,8269.0899,4040,False
70256,65838768,4894.7118,13451,True
70257,213517895,8813.9482,24225,True
70258,10576305,193.7904,54576,True
70259,19113101,4844.8925,3945,True
70260,90941691,3677.5321,24729,True
70261,40053008,7061.5318,5672,True
70262,94753070,5142.357,18426,True
70263,81062189,6392.413,12681,True
70264,158896160,4752.39,33435,True
70265,96348204,5245.1524,18369,True
70266,348456277,5896.3446,59097,True
70267,3033820,142.8621,21236,True
70268,73501988,8544.7556,8602,True
70269,104329065,2271.2325,45935,True
70270,244234130,7359.9967,33184,True
70271,90513937,1579.264,57314,True
70272,-212550234,7876.6068,26985,True
70273,31049839,3907.1145,7947,True
70274,187882041,4760.967,39463,True
70275,-7033176,223.7371,31435,True
70276,46615511,2018.6866,23092,True
70277,327409560,7359.9991,44485,True
70278,220190548,8274.4184,26611,True
70279,364400336,6272.4905,58095,True
70280,209060238,4298.7321,48633,True
70281,167790896,6421.8806,26128,True
70282,-38346519,7805.1127,4913,True
70283,263347597,7497.8674,35123,True
70284,62123971,4130.5832,15040,True
70285,91553547,4045.1353,22633,True
70286,212765849,4488.9204,47398,True
70287,23731277,3271.4747,7254,True
70288,448262016,7926.4056,56553,True
70289,81386944,3922.8295,20747,True
70290,26741498,2792.8457,9575,True
70291,74153074,5401.5934,13728,True
70292,142909637,7241.0639,19736,True
70293,97379566,6310.6452,15431,True
70294,48468530,1868.7743,25936,True
70295,187285357,6884.9848,27202,True
70296,30444174,3592.6568,8474,True
70297,-199971026,3905.6841,51200,False
70298,53458183,1408.1283,37964,True
70299,155924272,4517.3182,34517,True
70300,19796592,4465.7325,4433,True
70301,13326176,724.8002,18386,True
70302,183030713,4584.708,39922,True
70303,8548437,3840.2682,2226,True
70304,27228794,945.3786,28802,True
70305,-68672005,2098.8418,32719,True
70306,79409879,1870.5804,42452,True
70307,27529775,8014.4906,3435,True
70308,7898071,2835.9322,2785,True
70309,209321712,3567.6594,58672,True
70310,103011508,1775.6931,58012,True
70311,6003768,8373.4557,717,True
70312,100772781,2957.8157,34070,True
70313,212498538,8821.0269,24090,True
70314,56342825,5075.0158,11102,True
70315,90565424,3759.9296,24087,True
70316,395446558,7707.9089,51304,True
70317,143785684,2864.6561,50193,True
70318,9629191,4722.5066,2039,True
70319,27876563,957.9904,29099,True
70320,212073818,4795.6632,44222,True
70321,18086167,2456.3584,7363,True
70322,-290660528,7776.0381,37379,True
70323,95070809,6149.4702,15460,True
70324,286550522,7662.5982,37396,True
70325,164365578,7084.7232,23200,True
70326,44298114,6169.6538,7180,True
70327,165441471,4420.7319,37424,True
70328,318392611,8114.1877,39239,True
70329,428409142,7187.3493,59606,True
70330,90847513,1735.1882,52356,True
70331,178103652,5264.9773,33828,False
70332,52421043,7024.1247,7463,True
70333,360627122,8872.1707,40647,True
70334,290419291,8053.3329,36062,False
70335,55720749,1415.3458,39369,True
70336,92227351,3026.5268,30473,False
70337,95027647,3466.2647,27415,True
70338,27671702,2965.8845,9330,True
70339,203832778,4078.0421,49983,True
70340,336935580,5676.9992,59351,True
70341,399050461,8443.1894,47263,True
70342,-272134737,7968.573,34151,True
70343,123194251,4340.8827,28380,True
70344,259713713,7888.9983,32921,True
70345,88933025,6775.8495,13125,True
70346,98244042,5256.7843,18689,True
70347,59903957,1629.8179,36755,True
70348,2606400,153.5887,16970,True
70349,138425140,4880.8272,28361,True
70350,466195671,8993.666,51836,True
70351,119762935,8298.4295,14432,True
70352,281254505,7537.9102,37312,True
70353,319234264,5880.4919,54287,True
70354,43864547,740.9677,59199,True
70355,119778323,4261.5122,28107,True
70356,6269781,531.8783,11788,True
70357,92559303,5814.3918,15919,True
70358,302889944,7896.6015,38357,True
70359,100518358,2774.9105,36224,True
70360,8623682,1683.6553,5122,True
70361,15452385,3937.9167,3924,True
70362,219319706,5770.3564,38008,True
70363,202903784,3512.0259,57774,True
70364,25789608,7627.8048,3381,True
70365,-293132698,8746.5745,33514,True
70366,124883335,2766.5168,45141,True
70367,449127597,8942.1335,50226,True
70368,144170739,8176.6526,17632,True
70369,353338603,6618.439,53387,True
70370,118018760,8010.5043,14733,True
70371,139740703,4924.4354,28377,True
70372,51708358,1418.7274,36447,True
70373,227591711,5797.3333,39258,True
70374,105892364,2032.522,52099,True
70375,-32504810,6537.5724,4972,True
70376,63959145,5847.9606,10937,True
70377,41582802,796.7275,52192,True
70378,88317569,1476.4627,59817,True
70379,299489283,5985.3565,50037,True
70380,-6407568,365.2701,17542,True
70381,21366401,1863.2948,11467,True
70382,58321268,5758.419,10128,True
70383,240697871,7834.9621,30721,True
70384,121255945,2540.9347,47721,True
70385,4327597,866.7329,4993,True
70386,32294818,6406.4309,5041,True
70387,55230414,2042.8471,27036,True
70388,69115675,1860.9999,37139,True
70389,488325385,8215.4338,59440,True
70390,68788002,5343.5875,12873,True
70391,178182427,5706.4028,31225,False
70392,184640905,6428.5532,28722,True
70393,-35425259,749.1543,47287,True
70394,4408031,8660.1788,509,True
70395,65834213,2437.3112,27011,True
70396,33596055,1074.2144,31275,True
70397,132401140,5605.4674,23620,True
70398,197599201,6369.8527,31021,True
70399,105810715,2797.1533,37828,True
70400,213272882,4616.496,46198,True
70401,203467305,4037.0497,50400,True
70402,75831131,7492.4544,10121,True
70403,11995209,924.7713,12971,True
70404,46193271,2306.3194,20029,True
70405,301558675,7203.2934,41864,True
70406,90485936,3402.1106,26597,True
70407,98500834,7033.7642,14004,True
70408,8039564,1233.8189,6516,True
70409,14256714,887.1633,16070,True
70410,4334577,6858.5086,632,True
70411,86030044,4693.4012,18330,True
70412,156053932,7662.0971,20367,True
70413,253714956,5713.2714,44408,True
70414,432038858,8221.4816,52550,True
70415,35560478,1505.5878,23619,True
70416,17397478,6108.665,2848,True
70417,97312182,4652.3011,20917,True
70418,125873545,8769.2312,14354,True
70419,16635500,2765.6691,6015,True
70420,18369847,1006.3464,18254,True
70421,140598764,7140.6178,19690,True
70422,9338195,892.2411,10466,True
70423,6138473,1593.1671,3853,True
70424,64740713,4391.2849,14743,True
70425,234562459,6885.1256,34068,True
70426,171316508,7174.659,23878,True
70427,-129734253,7528.6823,17232,True
70428,224213428,8502.5949,26370,True
70429,74546343,8584.3325,8684,True
70430,262409632,7012.5503,37420,True
70431,76438113,7396.7595,10334,True
70432,81635767,3279.7303,24891,True
70433,-86658060,2633.5033,32906,True
70434,34898607,5625.1784,6204,True
70435,45936542,3932.9231,11680,True
70436,244983390,7134.6766,34337,True
70437,33789195,7881.7809,4287,True
70438,171002445,5050.4281,33859,True
70439,408021536,7639.2791,53411,True
70440,232789109,4808.6988,48410,True
70441,166651754,3228.2462,51623,True
70442,165725906,2946.2907,56249,True
70443,268299577,7823.0574,34296,True
70444,60347652,4687.1963,12875,True
70445,78637430,5410.2119,14535,False
70446,-53103073,7334.6786,7240,True
70447,100972458,3976.0763,25395,True
70448,201488202,4410.766,45681,True
70449,161435120,4343.8575,37164,True
70450,315209519,7840.4477,40203,False
70451,60531837,1891.5017,32002,True
70452,52996560,2675.5129,19808,True
70453,223415955,6839.6129,32665,True
70454,350125292,7290.0244,48028,True
70455,13089114,781.4863,16749,True
70456,258545935,5538.8062,46679,True
70457,8592115,387.6084,22167,True
70458,64264036,7512.7468,8554,True
70459,328885801,8074.3838,40732,True
70460,105512196,4545.98,23210,True
70461,-44087713,2145.1787,20552,True
70462,237598880,5127.185,46341,True
70463,271887351,5895.3436,46119,True
70464,131743205,4641.6237,28383,True
70465,7015628,232.8298,30132,True
70466,109848482,2825.9752,38871,True
70467,93794828,4943.8556,18972,True
70468,148369434,8580.2356,17292,True
70469,204778031,6778.2606,30211,True
70470,15427757,346.2632,44555,True
70471,28856244,5908.3218,4884,True
70472,104570205,8714.91,11999,True
70473,70658070,2154.4065,32797,False
70474,61904735,6090.5879,10164,True
70475,5373171,903.6614,5946,True
70476,7105639,2467.2358,2880,True
70477,172216476,3475.61,49550,True
70478,35104030,3997.2705,8782,True
70479,439052368,8689.1165,50529,True
70480,9918600,3264.8452,3038,True
70481,297478867,6358.0163,46788,True
70482,69519151,5397.4496,12880,True
70483,11072674,351.5023,31501,True
70484,109702688,3503.6469,31311,True
70485,88408067,7676.3104,11517,True
70486,221289391,7847.9764,28197,True
70487,373384165,6253.3984,59709,True
70488,196427962,4302.4414,45655,True
70489,6155978,1433.6231,4294,True
70490,14084308,284.7731,49458,True
70491,171853110,3934.276,43681,True
70492,38221778,2441.1942,15657,True
70493,289858424,7191.8029,40304,True
70494,52788981,1285.9992,41049,True
70495,348996881,8352.005,41786,True
70496,14722786,6139.6104,2398,True
70497,181921996,3944.5359,46120,True
70498,23004862,711.4979,32333,True
70499,408380617,7854.8329,51991,True
70500,72671415,2571.4382,28261,True
70501,-369949749,7854.7262,47099,True
70502,11132260,3006.2814,3703,True
70503,407330776,8798.021,46298,True
70504,-76878071,1297.148,59267,True
70505,76199633,6428.1789,11854,True
70506,-18214746,4327.571,4209,True
70507,408041657,7165.9172,56942,True
70508,-164244461,3098.2506,53012,True
70509,11590390,477.8754,24254,True
70510,53270401,7000.9726,7609,True
70511,350375953,5885.0119,59537,True
70512,84102307,2134.2513,39406,True
70513,404729600,7627.9161,53059,False
70514,420653332,8733.7707,48164,False
70515,12414396,1062.6944,11682,True
70516,29281874,765.7594,38239,True
70517,223831789,7822.1838,28615,True
70518,35959524,960.0471,37456,True
70519,40131642,1643.527,24418,True
70520,-131856732,7098.2306,18576,True
70521,57646854,2899.1578,19884,True
70522,69446619,1399.3435,49628,True
70523,289599655,4886.6857,59263,True
70524,387312,3002.4192,129,True
70525,199689743,8997.4652,22194,True
70526,220644650,4465.3158,49413,True
70527,35233781,5812.2371,6062,True
70528,107599986,6726.2603,15997,True
70529,359157254,8894.6545,40379,True
70530,61272773,1754.7618,34918,True
70531,336771091,7829.7008,43012,True
70532,163579603,7556.3379,21648,True
70533,235486710,6171.1971,38159,True
70534,98354565,5914.2853,16630,True
70535,8526981,1237.4084,6891,True
70536,107691568,2142.9452,50254,True
70537,76753068,3151.4296,24355,True
70538,218169129,8424.169,25898,True
70539,22325065,4455.2116,5011,True
70540,94939038,4992.5872,19016,True
70541,208989037,6191.7174,33753,True
70542,272679376,5278.4486,51659,True
70543,174020849,3308.8215,52593,True
70544,-946401,198.5735,4766,True
70545,42875055,762.1961,56252,True
70546,-10471396,1981.3427,5285,True
70547,421704273,8733.2879,48287,True
70548,63229711,3202.8017,19742,True
70549,236536890,5125.0599,46153,True
70550,11092366,3657.2257,3033,True
70551,19819413,1671.6779,11856,True
70552,190091204,6870.4353,27668,True
70553,23155316,452.6678,51153,True
70554,326998344,8915.381,36678,True
70555,32317198,1164.3739,27755,True
70556,33074525,1376.5566,24027,True
70557,-81653854,3387.1429,24107,True
70558,135206165,5883.3891,22981,True
70559,117440853,2284.9304,51398,True
70560,18063605,454.8766,39711,True
70561,99788627,6810.5806,14652,True
70562,-142757232,8318.2165,17162,True
70563,17887314,358.3483,49916,False
70564,22707031,2216.6176,10244,True
70565,217391772,7372.4615,29487,False
70566,227447918,5527.1541,41151,True
70567,177180465,5161.5482,34327,True
70568,35350791,5127.7619,6894,True
70569,17939233,350.3688,51201,True
70570,17629903,5799.3101,3040,True
70571,62261661,1632.6217,38136,True
70572,125374093,5414.3243,23156,True
70573,99404184,2265.7257,43873,True
70574,72440869,8717.3128,8310,True
70575,116169516,3361.2892,34561,True
70576,-32444933,7015.1207,4625,True
70577,85741561,3974.1164,21575,True
70578,125047034,8171.4065,15303,True
70579,175021751,3406.219,51383,True
70580,249920461,5745.6942,43497,True
70581,210390756,5468.3879,38474,True
70582,11461586,457.6397,25045,True
70583,4159591,8702.0734,478,True
70584,40291229,3773.647,10677,True
70585,22044739,666.9916,33051,True
70586,3219605,152.069,21172,True
70587,25554416,2695.3292,9481,True
70588,63888861,2735.671,23354,True
70589,127831429,5531.6729,23109,True
70590,309605835,6708.2494,46153,True
70591,295766859,7191.8993,41125,True
70592,77184428,2917.5743,26455,True
70593,71866912,2042.8924,35179,True
70594,64346271,4238.0472,15183,True
70595,120086919,3002.3231,39998,True
70596,297259877,7162.8886,41500,False
70597,527512156,8854.7379,59574,True
70598,87755224,2017.0369,43507,True
70599,265771761,8725.2712,30460,True
70600,223306704,5001.494,44648,True
